,epoch,train_loss,valid_loss
0,0,"tf.Tensor(691.7363, shape=(), dtype=float32)","tf.Tensor(244.57623, shape=(), dtype=float32)"
1,1,"tf.Tensor(166.94647, shape=(), dtype=float32)","tf.Tensor(40.649475, shape=(), dtype=float32)"
2,2,"tf.Tensor(53.684998, shape=(), dtype=float32)","tf.Tensor(17.779432, shape=(), dtype=float32)"
3,3,"tf.Tensor(21.252483, shape=(), dtype=float32)","tf.Tensor(10.255507, shape=(), dtype=float32)"
4,4,"tf.Tensor(9.524348, shape=(), dtype=float32)","tf.Tensor(6.851599, shape=(), dtype=float32)"
5,5,"tf.Tensor(4.821085, shape=(), dtype=float32)","tf.Tensor(5.1681466, shape=(), dtype=float32)"
6,6,"tf.Tensor(2.8379588, shape=(), dtype=float32)","tf.Tensor(4.393613, shape=(), dtype=float32)"
7,7,"tf.Tensor(1.9101874, shape=(), dtype=float32)","tf.Tensor(4.1215568, shape=(), dtype=float32)"
8,8,"tf.Tensor(1.4028989, shape=(), dtype=float32)","tf.Tensor(4.5001316, shape=(), dtype=float32)"
9,9,"tf.Tensor(1.1320288, shape=(), dtype=float32)","tf.Tensor(4.205009, shape=(), dtype=float32)"
10,10,"tf.Tensor(0.9786304, shape=(), dtype=float32)","tf.Tensor(4.1764417, shape=(), dtype=float32)"
11,11,"tf.Tensor(0.8845291, shape=(), dtype=float32)","tf.Tensor(3.9359555, shape=(), dtype=float32)"
12,12,"tf.Tensor(0.81575316, shape=(), dtype=float32)","tf.Tensor(3.6265113, shape=(), dtype=float32)"
13,13,"tf.Tensor(0.7673515, shape=(), dtype=float32)","tf.Tensor(3.505967, shape=(), dtype=float32)"
14,14,"tf.Tensor(0.72585833, shape=(), dtype=float32)","tf.Tensor(3.329265, shape=(), dtype=float32)"
15,15,"tf.Tensor(0.68870664, shape=(), dtype=float32)","tf.Tensor(3.7793891, shape=(), dtype=float32)"
16,16,"tf.Tensor(0.6569065, shape=(), dtype=float32)","tf.Tensor(3.8358932, shape=(), dtype=float32)"
17,17,"tf.Tensor(0.6247659, shape=(), dtype=float32)","tf.Tensor(3.477411, shape=(), dtype=float32)"
18,18,"tf.Tensor(0.5993431, shape=(), dtype=float32)","tf.Tensor(3.4835951, shape=(), dtype=float32)"
19,19,"tf.Tensor(0.5732394, shape=(), dtype=float32)","tf.Tensor(3.630332, shape=(), dtype=float32)"
20,20,"tf.Tensor(0.5518018, shape=(), dtype=float32)","tf.Tensor(3.5995388, shape=(), dtype=float32)"
21,21,"tf.Tensor(0.52904767, shape=(), dtype=float32)","tf.Tensor(3.0989864, shape=(), dtype=float32)"
22,22,"tf.Tensor(0.50728905, shape=(), dtype=float32)","tf.Tensor(3.0050855, shape=(), dtype=float32)"
23,23,"tf.Tensor(0.48786044, shape=(), dtype=float32)","tf.Tensor(2.901241, shape=(), dtype=float32)"
24,24,"tf.Tensor(0.47069034, shape=(), dtype=float32)","tf.Tensor(3.0024679, shape=(), dtype=float32)"
25,25,"tf.Tensor(0.45346108, shape=(), dtype=float32)","tf.Tensor(2.8398898, shape=(), dtype=float32)"
26,26,"tf.Tensor(0.43967655, shape=(), dtype=float32)","tf.Tensor(2.8037426, shape=(), dtype=float32)"
27,27,"tf.Tensor(0.4244643, shape=(), dtype=float32)","tf.Tensor(2.7660558, shape=(), dtype=float32)"
28,28,"tf.Tensor(0.41123387, shape=(), dtype=float32)","tf.Tensor(2.6703055, shape=(), dtype=float32)"
29,29,"tf.Tensor(0.39597893, shape=(), dtype=float32)","tf.Tensor(2.656797, shape=(), dtype=float32)"
30,30,"tf.Tensor(0.38656917, shape=(), dtype=float32)","tf.Tensor(2.7123494, shape=(), dtype=float32)"
31,31,"tf.Tensor(0.3742856, shape=(), dtype=float32)","tf.Tensor(2.808069, shape=(), dtype=float32)"
32,32,"tf.Tensor(0.36528936, shape=(), dtype=float32)","tf.Tensor(2.614359, shape=(), dtype=float32)"
33,33,"tf.Tensor(0.3529191, shape=(), dtype=float32)","tf.Tensor(2.6453044, shape=(), dtype=float32)"
34,34,"tf.Tensor(0.3457197, shape=(), dtype=float32)","tf.Tensor(2.6350312, shape=(), dtype=float32)"
35,35,"tf.Tensor(0.33418137, shape=(), dtype=float32)","tf.Tensor(2.7030416, shape=(), dtype=float32)"
36,36,"tf.Tensor(0.32909498, shape=(), dtype=float32)","tf.Tensor(2.834606, shape=(), dtype=float32)"
37,37,"tf.Tensor(0.31683993, shape=(), dtype=float32)","tf.Tensor(2.7255385, shape=(), dtype=float32)"
38,38,"tf.Tensor(0.31420606, shape=(), dtype=float32)","tf.Tensor(2.8120437, shape=(), dtype=float32)"
39,39,"tf.Tensor(0.30588454, shape=(), dtype=float32)","tf.Tensor(2.6374211, shape=(), dtype=float32)"
40,40,"tf.Tensor(0.2999154, shape=(), dtype=float32)","tf.Tensor(2.857395, shape=(), dtype=float32)"
41,41,"tf.Tensor(0.29027268, shape=(), dtype=float32)","tf.Tensor(2.7617753, shape=(), dtype=float32)"
42,42,"tf.Tensor(0.28655416, shape=(), dtype=float32)","tf.Tensor(2.7411463, shape=(), dtype=float32)"
43,43,"tf.Tensor(0.28076848, shape=(), dtype=float32)","tf.Tensor(2.7771838, shape=(), dtype=float32)"
44,44,"tf.Tensor(0.27376726, shape=(), dtype=float32)","tf.Tensor(2.7004948, shape=(), dtype=float32)"
45,45,"tf.Tensor(0.26649553, shape=(), dtype=float32)","tf.Tensor(2.86233, shape=(), dtype=float32)"
46,46,"tf.Tensor(0.2619089, shape=(), dtype=float32)","tf.Tensor(2.6645396, shape=(), dtype=float32)"
47,47,"tf.Tensor(0.2542209, shape=(), dtype=float32)","tf.Tensor(2.710239, shape=(), dtype=float32)"
48,48,"tf.Tensor(0.25274867, shape=(), dtype=float32)","tf.Tensor(2.62933, shape=(), dtype=float32)"
49,49,"tf.Tensor(0.24703297, shape=(), dtype=float32)","tf.Tensor(2.6634266, shape=(), dtype=float32)"
