,epoch,train_loss,valid_loss
0,0,"tf.Tensor(1008.15155, shape=(), dtype=float32)","tf.Tensor(814.557, shape=(), dtype=float32)"
1,1,"tf.Tensor(657.20935, shape=(), dtype=float32)","tf.Tensor(524.0791, shape=(), dtype=float32)"
2,2,"tf.Tensor(382.88004, shape=(), dtype=float32)","tf.Tensor(342.1242, shape=(), dtype=float32)"
3,3,"tf.Tensor(261.1066, shape=(), dtype=float32)","tf.Tensor(262.23303, shape=(), dtype=float32)"
4,4,"tf.Tensor(194.27252, shape=(), dtype=float32)","tf.Tensor(209.10153, shape=(), dtype=float32)"
5,5,"tf.Tensor(147.63373, shape=(), dtype=float32)","tf.Tensor(174.86966, shape=(), dtype=float32)"
6,6,"tf.Tensor(114.5982, shape=(), dtype=float32)","tf.Tensor(150.14615, shape=(), dtype=float32)"
7,7,"tf.Tensor(91.55042, shape=(), dtype=float32)","tf.Tensor(127.67643, shape=(), dtype=float32)"
8,8,"tf.Tensor(72.34649, shape=(), dtype=float32)","tf.Tensor(109.11134, shape=(), dtype=float32)"
9,9,"tf.Tensor(58.60539, shape=(), dtype=float32)","tf.Tensor(92.887955, shape=(), dtype=float32)"
10,10,"tf.Tensor(48.197025, shape=(), dtype=float32)","tf.Tensor(82.45512, shape=(), dtype=float32)"
11,11,"tf.Tensor(40.359695, shape=(), dtype=float32)","tf.Tensor(72.28131, shape=(), dtype=float32)"
12,12,"tf.Tensor(34.14322, shape=(), dtype=float32)","tf.Tensor(65.46394, shape=(), dtype=float32)"
13,13,"tf.Tensor(29.685236, shape=(), dtype=float32)","tf.Tensor(59.725086, shape=(), dtype=float32)"
14,14,"tf.Tensor(26.222658, shape=(), dtype=float32)","tf.Tensor(55.45877, shape=(), dtype=float32)"
15,15,"tf.Tensor(22.938732, shape=(), dtype=float32)","tf.Tensor(53.07493, shape=(), dtype=float32)"
16,16,"tf.Tensor(20.684677, shape=(), dtype=float32)","tf.Tensor(49.08272, shape=(), dtype=float32)"
17,17,"tf.Tensor(18.696613, shape=(), dtype=float32)","tf.Tensor(45.704517, shape=(), dtype=float32)"
18,18,"tf.Tensor(16.734032, shape=(), dtype=float32)","tf.Tensor(45.73634, shape=(), dtype=float32)"
19,19,"tf.Tensor(15.396885, shape=(), dtype=float32)","tf.Tensor(42.375755, shape=(), dtype=float32)"
20,20,"tf.Tensor(14.105858, shape=(), dtype=float32)","tf.Tensor(40.92123, shape=(), dtype=float32)"
21,21,"tf.Tensor(13.04451, shape=(), dtype=float32)","tf.Tensor(39.69049, shape=(), dtype=float32)"
22,22,"tf.Tensor(12.02566, shape=(), dtype=float32)","tf.Tensor(39.22529, shape=(), dtype=float32)"
23,23,"tf.Tensor(11.155893, shape=(), dtype=float32)","tf.Tensor(37.770103, shape=(), dtype=float32)"
24,24,"tf.Tensor(10.427522, shape=(), dtype=float32)","tf.Tensor(36.68814, shape=(), dtype=float32)"
25,25,"tf.Tensor(9.7371645, shape=(), dtype=float32)","tf.Tensor(36.056602, shape=(), dtype=float32)"
26,26,"tf.Tensor(9.151326, shape=(), dtype=float32)","tf.Tensor(34.792885, shape=(), dtype=float32)"
27,27,"tf.Tensor(8.6144285, shape=(), dtype=float32)","tf.Tensor(33.776367, shape=(), dtype=float32)"
28,28,"tf.Tensor(8.153603, shape=(), dtype=float32)","tf.Tensor(31.720499, shape=(), dtype=float32)"
29,29,"tf.Tensor(7.6995807, shape=(), dtype=float32)","tf.Tensor(30.441574, shape=(), dtype=float32)"
30,30,"tf.Tensor(7.319043, shape=(), dtype=float32)","tf.Tensor(29.013302, shape=(), dtype=float32)"
31,31,"tf.Tensor(6.9473047, shape=(), dtype=float32)","tf.Tensor(25.614841, shape=(), dtype=float32)"
32,32,"tf.Tensor(6.6503477, shape=(), dtype=float32)","tf.Tensor(22.188305, shape=(), dtype=float32)"
33,33,"tf.Tensor(6.324535, shape=(), dtype=float32)","tf.Tensor(18.069227, shape=(), dtype=float32)"
34,34,"tf.Tensor(6.1186376, shape=(), dtype=float32)","tf.Tensor(14.144885, shape=(), dtype=float32)"
35,35,"tf.Tensor(5.7911773, shape=(), dtype=float32)","tf.Tensor(10.405819, shape=(), dtype=float32)"
36,36,"tf.Tensor(5.572928, shape=(), dtype=float32)","tf.Tensor(7.707915, shape=(), dtype=float32)"
37,37,"tf.Tensor(5.344988, shape=(), dtype=float32)","tf.Tensor(5.942165, shape=(), dtype=float32)"
38,38,"tf.Tensor(5.1615033, shape=(), dtype=float32)","tf.Tensor(4.4793787, shape=(), dtype=float32)"
39,39,"tf.Tensor(4.93792, shape=(), dtype=float32)","tf.Tensor(3.9061813, shape=(), dtype=float32)"
40,40,"tf.Tensor(4.8532887, shape=(), dtype=float32)","tf.Tensor(3.2852097, shape=(), dtype=float32)"
41,41,"tf.Tensor(4.6335273, shape=(), dtype=float32)","tf.Tensor(3.0904174, shape=(), dtype=float32)"
42,42,"tf.Tensor(4.5044804, shape=(), dtype=float32)","tf.Tensor(2.8268175, shape=(), dtype=float32)"
43,43,"tf.Tensor(4.3635097, shape=(), dtype=float32)","tf.Tensor(2.7889676, shape=(), dtype=float32)"
44,44,"tf.Tensor(4.2298355, shape=(), dtype=float32)","tf.Tensor(2.7476246, shape=(), dtype=float32)"
45,45,"tf.Tensor(4.08124, shape=(), dtype=float32)","tf.Tensor(2.7004163, shape=(), dtype=float32)"
46,46,"tf.Tensor(3.9703302, shape=(), dtype=float32)","tf.Tensor(2.633102, shape=(), dtype=float32)"
47,47,"tf.Tensor(3.878007, shape=(), dtype=float32)","tf.Tensor(2.598346, shape=(), dtype=float32)"
48,48,"tf.Tensor(3.7505898, shape=(), dtype=float32)","tf.Tensor(2.638617, shape=(), dtype=float32)"
49,49,"tf.Tensor(3.6671934, shape=(), dtype=float32)","tf.Tensor(2.6744606, shape=(), dtype=float32)"
50,50,"tf.Tensor(3.583423, shape=(), dtype=float32)","tf.Tensor(2.7242908, shape=(), dtype=float32)"
51,51,"tf.Tensor(3.4675937, shape=(), dtype=float32)","tf.Tensor(2.7852674, shape=(), dtype=float32)"
52,52,"tf.Tensor(3.423004, shape=(), dtype=float32)","tf.Tensor(2.8328724, shape=(), dtype=float32)"
53,53,"tf.Tensor(3.3113608, shape=(), dtype=float32)","tf.Tensor(2.844498, shape=(), dtype=float32)"
54,54,"tf.Tensor(3.2477093, shape=(), dtype=float32)","tf.Tensor(2.8326511, shape=(), dtype=float32)"
55,55,"tf.Tensor(3.1908996, shape=(), dtype=float32)","tf.Tensor(2.7948039, shape=(), dtype=float32)"
56,56,"tf.Tensor(3.0934665, shape=(), dtype=float32)","tf.Tensor(2.75135, shape=(), dtype=float32)"
57,57,"tf.Tensor(3.0425344, shape=(), dtype=float32)","tf.Tensor(2.7198856, shape=(), dtype=float32)"
58,58,"tf.Tensor(2.991798, shape=(), dtype=float32)","tf.Tensor(2.6602468, shape=(), dtype=float32)"
59,59,"tf.Tensor(2.9254003, shape=(), dtype=float32)","tf.Tensor(2.620542, shape=(), dtype=float32)"
60,60,"tf.Tensor(2.853698, shape=(), dtype=float32)","tf.Tensor(2.5772722, shape=(), dtype=float32)"
61,61,"tf.Tensor(2.8198938, shape=(), dtype=float32)","tf.Tensor(2.5376632, shape=(), dtype=float32)"
62,62,"tf.Tensor(2.7580745, shape=(), dtype=float32)","tf.Tensor(2.5041242, shape=(), dtype=float32)"
63,63,"tf.Tensor(2.7273848, shape=(), dtype=float32)","tf.Tensor(2.4714139, shape=(), dtype=float32)"
64,64,"tf.Tensor(2.666734, shape=(), dtype=float32)","tf.Tensor(2.432318, shape=(), dtype=float32)"
65,65,"tf.Tensor(2.6245983, shape=(), dtype=float32)","tf.Tensor(2.4004982, shape=(), dtype=float32)"
66,66,"tf.Tensor(2.5699387, shape=(), dtype=float32)","tf.Tensor(2.371941, shape=(), dtype=float32)"
67,67,"tf.Tensor(2.5288477, shape=(), dtype=float32)","tf.Tensor(2.3502247, shape=(), dtype=float32)"
68,68,"tf.Tensor(2.50243, shape=(), dtype=float32)","tf.Tensor(2.3326914, shape=(), dtype=float32)"
69,69,"tf.Tensor(2.4475582, shape=(), dtype=float32)","tf.Tensor(2.333428, shape=(), dtype=float32)"
70,70,"tf.Tensor(2.4143963, shape=(), dtype=float32)","tf.Tensor(2.3130898, shape=(), dtype=float32)"
71,71,"tf.Tensor(2.3871148, shape=(), dtype=float32)","tf.Tensor(2.2939625, shape=(), dtype=float32)"
72,72,"tf.Tensor(2.3561728, shape=(), dtype=float32)","tf.Tensor(2.2729268, shape=(), dtype=float32)"
73,73,"tf.Tensor(2.3055992, shape=(), dtype=float32)","tf.Tensor(2.2540753, shape=(), dtype=float32)"
74,74,"tf.Tensor(2.2798142, shape=(), dtype=float32)","tf.Tensor(2.2376454, shape=(), dtype=float32)"
75,75,"tf.Tensor(2.2608206, shape=(), dtype=float32)","tf.Tensor(2.2210135, shape=(), dtype=float32)"
76,76,"tf.Tensor(2.2189555, shape=(), dtype=float32)","tf.Tensor(2.205028, shape=(), dtype=float32)"
77,77,"tf.Tensor(2.1845598, shape=(), dtype=float32)","tf.Tensor(2.1983147, shape=(), dtype=float32)"
78,78,"tf.Tensor(2.159032, shape=(), dtype=float32)","tf.Tensor(2.1903605, shape=(), dtype=float32)"
79,79,"tf.Tensor(2.153037, shape=(), dtype=float32)","tf.Tensor(2.1686177, shape=(), dtype=float32)"
80,80,"tf.Tensor(2.1081026, shape=(), dtype=float32)","tf.Tensor(2.1559749, shape=(), dtype=float32)"
81,81,"tf.Tensor(2.09249, shape=(), dtype=float32)","tf.Tensor(2.1518884, shape=(), dtype=float32)"
82,82,"tf.Tensor(2.0654519, shape=(), dtype=float32)","tf.Tensor(2.1346154, shape=(), dtype=float32)"
83,83,"tf.Tensor(2.046816, shape=(), dtype=float32)","tf.Tensor(2.122547, shape=(), dtype=float32)"
84,84,"tf.Tensor(2.0318837, shape=(), dtype=float32)","tf.Tensor(2.0999334, shape=(), dtype=float32)"
85,85,"tf.Tensor(1.9947106, shape=(), dtype=float32)","tf.Tensor(2.097183, shape=(), dtype=float32)"
86,86,"tf.Tensor(1.9761462, shape=(), dtype=float32)","tf.Tensor(2.0818753, shape=(), dtype=float32)"
87,87,"tf.Tensor(1.959836, shape=(), dtype=float32)","tf.Tensor(2.0685592, shape=(), dtype=float32)"
88,88,"tf.Tensor(1.9354922, shape=(), dtype=float32)","tf.Tensor(2.0601068, shape=(), dtype=float32)"
89,89,"tf.Tensor(1.9081584, shape=(), dtype=float32)","tf.Tensor(2.0594294, shape=(), dtype=float32)"
90,90,"tf.Tensor(1.8972316, shape=(), dtype=float32)","tf.Tensor(2.0464501, shape=(), dtype=float32)"
91,91,"tf.Tensor(1.8783808, shape=(), dtype=float32)","tf.Tensor(2.0369763, shape=(), dtype=float32)"
92,92,"tf.Tensor(1.8584163, shape=(), dtype=float32)","tf.Tensor(2.0282602, shape=(), dtype=float32)"
93,93,"tf.Tensor(1.8488642, shape=(), dtype=float32)","tf.Tensor(2.0124402, shape=(), dtype=float32)"
94,94,"tf.Tensor(1.8235224, shape=(), dtype=float32)","tf.Tensor(1.999923, shape=(), dtype=float32)"
95,95,"tf.Tensor(1.8028421, shape=(), dtype=float32)","tf.Tensor(2.002242, shape=(), dtype=float32)"
96,96,"tf.Tensor(1.7832003, shape=(), dtype=float32)","tf.Tensor(1.9902735, shape=(), dtype=float32)"
97,97,"tf.Tensor(1.773966, shape=(), dtype=float32)","tf.Tensor(1.9873874, shape=(), dtype=float32)"
98,98,"tf.Tensor(1.7624675, shape=(), dtype=float32)","tf.Tensor(1.9913524, shape=(), dtype=float32)"
